               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096795,            0.041446,                   0,                   0,                   0,                   0,                   0,            0.048363,            0.035941,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.064108,            0.042487,                   0,                   0,                   0,                   0,                   0,             0.04829,             0.03522,                   0,            0.095492,          0.00049227,          0.00049227
                   2,            0.064758,            0.041984,                   0,                   0,                   0,                   0,                   0,            0.048187,            0.033947,                   0,            0.092775,          0.00077525,          0.00077525
                   3,            0.049199,            0.035276,                   0,                   0,                   0,                   0,                   0,             0.04808,            0.032326,                   0,            0.090049,            0.001049,            0.001049
                   4,             0.04868,            0.035799,                   0,                   0,                   0,                   0,                   0,            0.048028,            0.030532,                   0,            0.087313,           0.0013134,           0.0013134
                   5,            0.095609,            0.041541,                   0,                   0,                   0,                   0,                   0,            0.047997,            0.029642,                   0,            0.084569,           0.0015685,           0.0015685
                   6,              0.0641,            0.041877,                   0,                   0,                   0,                   0,                   0,            0.048006,            0.028556,                   0,            0.081814,           0.0018144,           0.0018144
                   7,            0.065356,            0.027908,                   0,                   0,                   0,                   0,                   0,            0.048016,            0.027645,                   0,            0.079051,            0.002051,            0.002051
                   8,            0.064015,            0.036338,                   0,                   0,                   0,                   0,                   0,            0.048162,            0.026328,                   0,            0.076278,           0.0022782,           0.0022782
                   9,            0.080252,            0.030789,                   0,                   0,                   0,                   0,                   0,            0.047947,            0.025643,                   0,            0.073496,           0.0024963,           0.0024963
                  10,            0.064734,             0.02784,                   0,                   0,                   0,                   0,                   0,            0.047949,            0.023926,                   0,            0.070705,            0.002705,            0.002705
                  11,            0.063437,            0.029513,                   0,                   0,                   0,                   0,                   0,            0.047974,            0.023449,                   0,            0.067904,           0.0029045,           0.0029045
                  12,            0.064493,            0.024851,                   0,                   0,                   0,                   0,                   0,            0.048462,            0.021907,                   0,            0.065095,           0.0030946,           0.0030946
                  13,            0.048415,            0.025704,                   0,                   0,                   0,                   0,                   0,            0.048482,            0.021261,                   0,            0.062276,           0.0032755,           0.0032755
                  14,            0.093845,            0.034874,                   0,                   0,                   0,                   0,                   0,            0.048259,            0.020948,                   0,            0.059447,           0.0034471,           0.0034471
                  15,            0.079915,            0.024773,                   0,                   0,                   0,                   0,                   0,            0.048049,            0.021165,                   0,            0.056609,           0.0036095,           0.0036095
                  16,            0.080368,            0.024597,                   0,                   0,                   0,                   0,                   0,            0.047758,            0.022548,                   0,            0.053763,           0.0037625,           0.0037625
                  17,            0.079418,            0.026824,                   0,                   0,                   0,                   0,                   0,            0.047685,            0.023292,                   0,            0.050906,           0.0039063,           0.0039063
                  18,             0.04834,            0.022302,                   0,                   0,                   0,                   0,                   0,            0.047566,            0.023772,                   0,            0.048041,           0.0040408,           0.0040408
                  19,            0.063162,            0.022523,                   0,           0.0033333,           0.0023392,            0.001732,          0.00042417,            0.047466,            0.023181,                   0,            0.045166,            0.004166,            0.004166
                  20,            0.078383,            0.028794,                   0,               0.005,           0.0035088,           0.0025644,          0.00061121,            0.047264,            0.023836,                   0,            0.042282,           0.0042819,           0.0042819
                  21,            0.078513,            0.023663,                   0,            0.015331,           0.0023392,            0.001226,          0.00030632,            0.047118,            0.024305,                   0,            0.039389,           0.0043885,           0.0043885
                  22,            0.094995,            0.028759,                   0,           0.0064237,           0.0011696,          0.00046854,          4.6854e-05,            0.046928,            0.023825,                   0,            0.036486,           0.0044859,           0.0044859
                  23,            0.064141,            0.021119,                   0,             0.01422,           0.0023392,           0.0013555,            0.000225,            0.046657,            0.022773,                   0,            0.033574,            0.004574,            0.004574
                  24,            0.096354,            0.024063,                   0,            0.077358,           0.0035088,           0.0040298,          0.00078137,            0.046421,            0.022379,                   0,            0.030653,           0.0046528,           0.0046528
                  25,            0.078335,            0.023434,                   0,            0.033465,           0.0070175,           0.0043312,           0.0006875,            0.046249,             0.02222,                   0,            0.027722,           0.0047223,           0.0047223
                  26,            0.094751,            0.025419,                   0,            0.042495,            0.012865,           0.0084693,           0.0014021,            0.046009,            0.022714,                   0,            0.024782,           0.0047825,           0.0047825
                  27,            0.061964,            0.025758,                   0,            0.063507,            0.011696,           0.0051644,          0.00082194,            0.045688,             0.02406,                   0,            0.021833,           0.0048335,           0.0048335
                  28,            0.061093,            0.025675,                   0,            0.053873,           0.0081871,           0.0033952,          0.00054657,            0.045688,             0.02406,                   0,            0.018875,           0.0048751,           0.0048751
                  29,            0.077666,            0.024582,                   0,            0.021158,           0.0070175,           0.0032617,          0.00098152,            0.045296,            0.025953,                   0,            0.015908,           0.0049075,           0.0049075
                  30,            0.061238,             0.02573,                   0,            0.066652,            0.017544,           0.0082106,           0.0013239,            0.045525,            0.027797,                   0,            0.012931,           0.0049306,           0.0049306
                  31,            0.044718,            0.027836,                   0,             0.11066,            0.071345,            0.027686,            0.005065,            0.044297,            0.030149,                   0,           0.0099445,           0.0049445,           0.0049445
                  32,            0.076215,            0.025956,                   0,             0.11066,            0.071345,            0.027686,            0.005065,            0.044297,            0.030149,                   0,            0.006949,            0.004949,            0.004949
                  33,            0.077988,            0.027066,                   0,             0.11438,             0.08655,            0.034411,            0.006815,            0.043481,             0.03196,                   0,           0.0048953,           0.0048953,           0.0048953
                  34,            0.061211,            0.028005,                   0,            0.048586,            0.038596,            0.011546,           0.0022531,            0.044315,            0.035553,                   0,           0.0048953,           0.0048953,           0.0048953
                  35,            0.045856,            0.024086,                   0,            0.094004,             0.12515,            0.036679,           0.0077419,            0.043485,            0.031456,                   0,           0.0047406,           0.0047406,           0.0047406
                  36,            0.075452,            0.033861,                   0,            0.094004,             0.12515,            0.036679,           0.0077419,            0.043485,            0.031456,                   0,           0.0045859,           0.0045859,           0.0045859
                  37,            0.076967,            0.034551,                   0,             0.14416,             0.16023,            0.060041,             0.01154,            0.042112,            0.032546,                   0,           0.0044313,           0.0044313,           0.0044313
                  38,            0.043617,            0.030053,                   0,            0.070457,            0.078363,            0.023455,           0.0046755,            0.043762,            0.035601,                   0,           0.0042766,           0.0042766,           0.0042766
                  39,            0.072838,            0.029837,                   0,             0.15764,             0.14152,            0.068487,            0.014332,            0.041359,            0.035171,                   0,           0.0041219,           0.0041219,           0.0041219
                  40,            0.077269,            0.030588,                   0,             0.15764,             0.14152,            0.068487,            0.014332,            0.041359,            0.035171,                   0,           0.0039672,           0.0039672,           0.0039672
                  41,            0.042444,            0.034803,                   0,             0.17313,             0.18012,            0.079476,            0.016757,            0.041042,            0.037953,                   0,           0.0038125,           0.0038125,           0.0038125
                  42,            0.059528,            0.034806,                   0,             0.16396,             0.19181,            0.075689,            0.016773,            0.040638,            0.043388,                   0,           0.0036578,           0.0036578,           0.0036578
                  43,            0.057128,            0.034294,                   0,             0.14378,             0.17778,            0.065955,            0.013317,            0.040951,            0.038678,                   0,           0.0035031,           0.0035031,           0.0035031
                  44,            0.058496,            0.034079,                   0,             0.14378,             0.17778,            0.065955,            0.013317,            0.040951,            0.038678,                   0,           0.0033484,           0.0033484,           0.0033484
                  45,            0.058155,            0.031431,                   0,             0.18889,             0.21762,            0.086809,            0.019408,              0.0399,            0.038912,                   0,           0.0031938,           0.0031938,           0.0031938
                  46,            0.058816,             0.03556,                   0,            0.078439,             0.18363,            0.048415,            0.010958,            0.045609,             0.04749,                   0,           0.0030391,           0.0030391,           0.0030391
                  47,            0.093136,            0.028173,                   0,             0.12379,             0.16959,            0.058586,            0.012865,            0.041988,              0.0394,                   0,           0.0028844,           0.0028844,           0.0028844
                  48,            0.073862,            0.036161,                   0,             0.12379,             0.16959,            0.058586,            0.012865,            0.041988,              0.0394,                   0,           0.0027297,           0.0027297,           0.0027297
                  49,            0.058621,             0.03389,                   0,             0.14422,             0.19298,            0.072365,             0.01577,            0.040209,            0.037679,                   0,            0.002575,            0.002575,            0.002575
                  50,            0.055581,            0.042069,                   0,             0.15999,             0.22807,            0.083861,            0.017563,            0.040028,            0.045407,                   0,           0.0024203,           0.0024203,           0.0024203
                  51,            0.042509,            0.035668,                   0,             0.10347,             0.16959,            0.050858,             0.01165,            0.042407,            0.038067,                   0,           0.0022656,           0.0022656,           0.0022656
                  52,            0.056583,            0.038674,                   0,             0.10347,             0.16959,            0.050858,             0.01165,            0.042407,            0.038067,                   0,           0.0021109,           0.0021109,           0.0021109
                  53,             0.07689,            0.034718,                   0,            0.094867,             0.15205,            0.045499,           0.0099115,            0.041623,            0.036313,                   0,           0.0019563,           0.0019563,           0.0019563
                  54,            0.044223,            0.034948,                   0,             0.24803,             0.22807,             0.12579,            0.027719,            0.038447,            0.038282,                   0,           0.0018016,           0.0018016,           0.0018016
                  55,            0.042796,            0.033979,                   0,             0.26292,             0.27485,             0.15354,            0.033325,            0.038312,            0.039426,                   0,           0.0016469,           0.0016469,           0.0016469
                  56,             0.04193,            0.033506,                   0,             0.26292,             0.27485,             0.15354,            0.033325,            0.038312,            0.039426,                   0,           0.0014922,           0.0014922,           0.0014922
